Programming Language,Apr 2025,Apr 2024,Ratings(%),Change(%)
Python,1,1,23.08,+6.67
C++,2,3,10.33,+0.56
C,3,2,9.94,-0.27
Java,4,4,9.63,+0.69
C#,5,5,4.39,-2.37
JavaScript,6,6,3.71,+0.82
Go,7,7,3.02,+1.17
Visual Basic,8,8,2.94,+1.24
Delphi/Object Pascal,9,11,2.53,+1.06
SQL,10,9,2.19,+0.57
Fotran,11,10,2.04,+0.57
Scratch,12,15,1.35,+0.21
PHP,13,17,1.31,+0.21
R,14,20,1.19,+0.34
Ada,15,24,1.09,+0.36
MATLAB,16,16,1.07,-0.04
Assembly Language,17,12,0.97,-0.32
Rust,18,19,0.96,-0.08
Perl,19,23,0.91,+0.15
COBOL,20,21,0.91,+0.11
