Programming Language,Aug 2026,Aug 2025,Ratings(%),Change(%)
Python,1,1,18.53,-7.61
C,2,3,11.10,+2.07
C++,3,2,8.62,-0.56
Java,4,4,8.25,-0.34
C#,5,5,4.09,-1.43
JavaScript,6,6,2.63,-0.52
Visual Basic,7,7,2.18,-0.15
SQL,8,12,1.88,+0.16
R,9,14,1.56,+.0.19
Rust,10,18,1.45,+0.31
Delphi/Object Pascal,11,10,1.37,-0.46
Scratch,12,17,1.27,+0.12
PHP,13,15,1.11,-0.16
Go,14,8,1.07,-1.04
Fortran,15,11,0.99,-0.77
Ruby,16,26,0.98,+0.23
Swift,17,25,0.96,+0.19
Perl,18,9,0.94,-1.13
COBOL,19,22,0.87,+0.02
Assembly Language,20,20,0.86,-0.16
