Programming Language,Dec 2025,Dec 2024,Ratings(%),Change(%)
Python,1,1,23.64,-0.21
C,2,4,10.11,+1.01
C++,3,2,8.95,-1.87
Java,4,3,8.70,-1.02
C#,5,5,7.26,+2.39
JavaScript,6,6,2.96,-1.66
Visual Basic,7,9,2.81,+0.85
SQL,8,8,2.10,+0.11
Perl,9,26,1.97,+1.33
R,10,16,1.96,+0.91
Delphi/Object Pascal,11,11,1.91,+0.48
Fortran,12,10,1.60,-0.18
MATLAB,13,15,1.52,+0.43
Ada,14,24,1.49,+0.77
Go,15,7,1.37,-0.80
PHP,16,12,1.36,-0.03
Rust,17,14,1.30,+0.01
Scratch,18,13,1.11,-0.23
Assembly Language,19,17,1.04,-0.01
Kotlin,20,23,0.92,+0.10
