Programming Language,Feb 2026,Feb 2025,Ratings(%),Change(%)
Python,1,1,21.81,-2.08
C,2,4,11.05,+1.22
C++,3,2,8.55,-2.82
Java,4,3,8.12,-2.54
C#,5,5,6.83,+2.71
JavaScript,6,6,2.92,-0.85
Visual Basic,7,10,2.85,+0.81
R,8,15,2.19,+1.14
SQL,9,7,1.93,-0.93
Delphi/Object Pascal,10,9,1.88,-0.29
Perl,11,30,1.67,+1.19
Fortran,12,11,1.64,-0.12
PHP,13,14,1.34,+0.20
Rust,14,13,1.32,-0.14
Scratch,15,12,1.30,-0.25
Go,16,8,1.23,-1.03
Ada,17,24,1.14,+0.43
MATLAB,18,16,1.13,+0.14
Assembly Language,19,17,1.10,+0.15
Kotlin,20,23,1.05,+0.29
