Programming Language,Jan 2025,Jan 2024,Ratings(%),Change(%)
Python,1,1,23.28,+9.32
C++,2,3,10.29,+0.33
Java,3,4,10.15,+2.28
C,4,2,8.86,-2.59
C#,5,5,4.45,-2.71
JavaScript,6,6,4.20,+1.43
Go,7,11,2.61,+1.24
SQL,8,9,2.41,+0.95
Visual Basic,9,8,2.37,+0.77
Fortran,10,12,2.04,+0.94
Delphi/Object Pascal,11,13,1.79,+0.70
Scratch,12,10,1.55,+0.11
PHP,13,7,1.38,-0.41
Rust,14,19,1.16,+0.37
MATLAB,15,14,1.07,+0.09
Ruby,16,18,1.06,+0.25
Assembly Language,17,15,1.01,+0.10
R,18,23,1.00,+0.27
Swift,19,16,0.99,+0.10
COBOL,20,20,0.95,+0.17
