Programming Language,Jun 2026,Jun 2025,Ratings(%),Change(%)
Python,1,1,18.96,-6.91
C,2,3,10.77,+1.30
C++,3,2,8.03,-2.65
Java,4,4,7.90,-0.94
C#,5,5,4.85,+0.16
JavaScript,6,6,3.04,-0.17
Visual Basic,7,8,2.80,+0.60
SQL,8,12,1.77,+0.22
R,9,14,1.69,+0.30
Delphi/Object Pascal,10,9,1.54,-0.61
Scratch,11,16,1.46,+0.27
Rust,12,18,1.26,+0.29
Go,13,7,1.20,-1.08
PHP,14,15,1.17,-0.08
Swift,15,25,1.00,+0.27
Ada,16,11,0.97,-0.73
Perl,17,13,0.92,-0.55
Fortran,18,10,0.95,-0.91
Assembly Language,19,19,0.87,-0.04
MATLAB,20,17,0.85,-0.27
