Programming Language,Mar 2026,Mar 2025,Ratings(%),Change(%)
Python,1,1,21.25,-2.59
C,2,4,11.55,+2.02
C++,3,2,8.18,-2.90
Java,4,3,7.99,-2.37
C#,5,5,6.36,+1.49
JavaScript,6,6,3.45,-0.01
Visual Basic,7,9,2.50,-0.02
SQL,8,8,2.00,-0.57
R,9,16,1.88,+0.94
Delphi/Object Pascal,10,10,1.80,-0.36
Perl,11,24,1.75,+1.05
Scratch,12,12,1.63,-0.03
Fortran,13,11,1.45,-0.25
Rust,14,14,1.31,+0.09
MATLAB,15,15,1.29,+0.31
Go,16,7,1.29,-1.49
Assembly Language,17,17,1.29,+0.42
PHP,18,13,1.23,-0.25
Ada,19,18,1.10,+0.25
Swift,20,26,1.04,+0.44
