Programming Language,May 2025,May 2024,Ratings(%),Change(%)
Python,1,1,25.35,+9.02
C++,2,3,9.94,+0.41
C,3,2,9.71,-0.27
Java,4,4,9.31,+0.62
C#,5,5,4.22,-2.27
JavaScript,6,6,3.68,+0.66
Go,7,8,2.70,+1.10
Visual Basic,8,7,2.62,+0.61
Delphi/Object Pascal,9,11,2.29,+1.05
SQL,10,9,1.90,+0.45
Fortran,11,10,1.78,+0.53
R,12,24,1.46,+0.71
Ada,13,22,1.42,+0.58
Scratch,14,17,1.35,+0.42
PHP,15,16,1.22,+0.25
Perl,16,30,1.20,+0.63
MATLAB,17,14,1.02,-0.05
Assembly Language,18,12,0.97,-0.10
Rust,19,18,0.94,+0.01
COBOL,20,20,0.88,+0.03
