Programming Language,Oct 2025,Oct 2024,Ratings(%),Change(%)
Python,1,1,24.45,+2.55
C,2,4,9.29,+0.91
C++,3,2,8.84,-2.77
Java,4,3,8.35,-2.15
C#,5,5,6.94,+1.32
JavaScript,6,6,3.41,-0.13
Visual Basic,7,7,3.22,+0.87
Go,8,8,1.92,-0.10
Delphi/Object Pascal,9,10,1.86,+0.19
SQL,10,11,1.77,+0.13
Fortran,11,9,1.70,-0.10
Perl,12,29,1.66,+1.10
R,13,17,1.52,+0.43
PHP,14,15,1.38,+0.17
Assembly Language,15,16,1.20,+0.07
Rust,16,13,1.19,-0.25
MATLAB,17,12,1.16,-0.32
Scratch,18,14,1.15,-0.26
Ada,19,24,0.98,+0.25
Kotlin,20,21,0.98,+0.01
