Programming Language,Sep 2025,Sep 2024,Ratings(%),Change(%)
Python,1,1,25.98,+5.81
C++,2,2,8.80,-1.94
C,3,4,8.65,-0.24
Java,4,3,8.35,-1.09
C#,5,5,6.38,+0.30
JavaScript,6,6,3.22,-0.70
Visual Basic,7,7,2.84,+0.14
Go,8,8,2.32,-0.03
Delphi/Object Pascal,9,11,2.26,+0.49
Perl,10,27,2.03,+1.33
SQL,11,9,1.86,-0.08
Fortran,12,10,1.49,-0.29
R,13,15,1.43,+0.23
Ada,14,26,1.27,+0.56
PHP,15,13,1.25,-0.20
Scratch,16,17,1.18,+0.07
Assembly Language,17,21,1.04,+0.05
Rust,18,14,1.01,-0.31
MATLAB,19,12,0.98,-0.49
Kotlin,20,18,0.95,-0.14
