Programming Language,May 2021,May 2020,Ratings(%),Change(%)
C,1,1,13.38,-3.68
Python,2,3,11.87,+2.75
Java,3,2,11.74,-4.54
C++,4,4,7.81,+1.69
C#,5,5,4.41,+0.12
Visual Basic,6,6,4.02,-0.16
JavaScript,7,7,2.45,-0.23
Assembly Language,8,14,2.43,+1.31
PHP,9,8,1.86,-0.63
SQL,10,9,1.71,-0.38
Ruby,11,15,1.50,0.48
Classic Visual Basic,12,17,1.41,+0.53
R,13,10,1.38,-0.46
Groovy,14,38,1.25,+0.96
MATLAB,15,13,1.23,-0.05
Go,16,12,1.22,-0.05
Delphi/Object Pascal,17,23,1.21,+0.60
Swift,18,11,1.14,-0.65
Perl,19,18,1.04,+0.16
Fortran,20,34,0.83,+0.51
