Programming Language,Apr 2022,Apr 2021,Ratings(%),Change(%)
Python,1,3,13.92,+2.88
C,2,1,12.71,-1.61
Java,3,2,10.82,-0.41
C++,4,4,8.28,+1.14
C#,5,5,6.82,+1.91
Visual Basic,6,6,5.40,+0.85
JavaScript,7,7,2.41,-0.03
Assembly Language,8,8,2.35,+0.03
SQL,9,10,2.28,+0.45
PHP,10,9,1.64,-0.19
R,11,16,1.55,+0.44
Delphi/Object Pascal,12,12,1.18,-0.29
Go,13,14,1.09,-0.14
Swift,14,15,1.00,-0.19
Ruby,15,13,0.88,-0.35
Classic Visual Basic,16,11,0.83,-0.71
Objective-C,17,23,0.82,+0.15
Perl,18,18,0.79,-0.21
Lua,19,37,0.78,+0.45
MATLAB,20,19,0.74,-0.25
