Programming Language,Jan 2022,Jan 2021,Ratings(%),Change(%)
Python,1,3,13.58,+1.86
C,2,1,12.44,-4.94
Java,3,2,10.66,-1.30
C++,4,4,8.29,+0.73
C#,5,5,5.68,+1.73
Visual Basic,6,6,4.74,+0.90
JavaScript,7,7,2.09,-0.11
Assembly Language,8,11,1.85,+0.21
SQL,9,12,1.80,+0.19
Swift,10,13,1.41,-0.02
PHP,11,8,1.40,-0.60
R,12,9,1.25,-0.65
Go,13,14,1.04,-0.37
Delphi/Object Pascal,14,19,0.99,+0.20
Classic Visual Basic,15,20,0.98,+0.19
MATLAB,16,16,0.96,-0.19
Groovy,17,10,0.94,-0.90
Ruby,18,15,0.88,-0.43
Fortran,19,30,0.77,+0.31
Perl,20,17,0.71,-0.31
