Programming Language,Nov 2022,Nov 2021,Ratings(%),Change(%)
Python,1,1,17.18,+5.41
C,2,2,15.08,+4.35
Java,3,3,11.98,+1.26
C++,4,4,10.75,+2.46
C#,5,5,4.25,-1.81
Visual Basic,6,6,4.11,-1.61
JavaScript,7,7,2.74,+0.08
Assembly Language,8,8,2.18,-0.34
SQL,9,9,1.82,-0.30
PHP,10,10,1.69,-0.12
Go,11,18,1.15,-0.06
R,12,15,1.14,-0.14
Classic Visual Basic,13,11,1.10,-0.46
Delphi/Object Pascal,14,17,1.08,-0.14
MATLAB,15,20,1.02,-0.15
Objective-C,16,28,0.93,+0.39
Scratch,17,24,0.88,+0.11
Swift,18,14,0.87,-0.56
Ruby,19,13,0.85,-0.59
Rust,20,29,0.75,+0.21
