Programming Language,Aug 2024,Aug 2023,Ratings(%),Change(%)
Python,1,1,18.04,+4.71
C++,2,3,10.04,-0.59
C,3,2,9.17,-2.24
Java,4,4,9.16,-1.16
C#,5,5,6.39,-0.65
JavaScript,6,6,3.91,+0.62
SQL,7,8,2.21,+0.68
Visual Basic,8,7,2.18,-0.45
Go,9,12,2.03,+0.87
Fortran,10,14,1.79,+0.75
MATLAB,11,13,1.72,+0.67
Delphi/Object Pascal,12,23,1.63,+0.83
PHP,13,10,1.46,+0.19
Rust,14,19,1.28,+0.39
Ruby,15,17,1.28,+0.37
Swift,16,18,1.28,+0.37
Assembly Language,17,9,1.21,-0.13
Kotlin,18,27,1.13,+0.44
R,19,16,1.11,+0.19
Scratch,20,11,1.09,-0.13
