Programming Language,Oct 2024,Oct 2023,Ratings(%),Change(%)
Python,1,1,21.90,+7.08
C++,2,3,11.60,+0.93
Java,3,4,10.51,+1.59
C,4,2,8.38,-3.70
C#,5,5,5.62,-2.09
JavaScript,6,6,3.54,+0.64
Visual Basic,7,7,2.35,+0.22
Go,8,11,2.02,+0.65
Fortran,9,16,1.80,+0.78
Delphi/Object Pascal,10,13,1.68,+0.38
SQL,11,9,1.64,-0.15
MATLAB,12,14,1.48,+0.22
Rust,13,20,1.45,+0.53
Scratch,14,12,1.41,+0.05
PHP,15,8,1.21,-0.69
Assembly Language,16,10,1.13,-0.51
R,17,17,1.09,+0.12
Ruby,18,19,0.99,+0.07
COBOL,19,24,0.99,+0.23
Swift,20,15,0.98,-0.09
