Programming Language,Apr 2024,Apr 2023,Ratings(%),Change(%)
Python,1,1,16.41,+1.90
C,2,2,10.21,-4.20
C++,3,4,9.76,-3.20
Java,4,3,8.94,-4.29
C#,5,5,6.77,-1.44
JavaScript,6,7,2.89,+0.79
Go,7,10,1.85,+0.57
Visual Basic,8,6,1.70,-2.70
SQL,9,8,1.61,-0.06
Fortran,10,20,1.47,+0.88
Delphi/Object Pascal,11,11,1.47,+0.24
Assembly Language,12,12,1.30,+0.26
Ruby,13,18,1.24,+0.58
Swift,14,17,1.23,+0.51
Scratch,15,15,1.14,+0.35
MATLAB,16,14,1.11,+0.25
PHP,17,9,1.09,-0.26
Kotlin,18,38,1.05,+0.80
Rust,19,19,1.03,+0.41
R,20,16,0.84,+0.09
