Programming Language,Dec 2021,Dec 2020,Ratings(%),Change(%)
Python,1,3,12.90,+0.69
C,2,1,11.80,-4.69
Java,3,2,10.12,-2.41
C++,4,4,7.73,+0.82
C#,5,5,6.40,+2.21
Visual Basic,6,6,5.40,+1.48
JavaScript,7,7,2.30,-0.06
Assembly Language,8,12,2.25,+0.91
SQL,9,10,1.79,+0.26
Swift,10,13,1.76,+0.54
R,11,9,1.58,-0.01
PHP,12,8,1.50,-0.62
Classic Visual Basic,13,23,1.27,+0.56
Groovy,14,11,1.23,-0.30
Ruby,15,15,1.16,-0.01
Delphi/Object Pascal,16,18,1.14,+0.27
Fortran,17,32,1.04,+0.59
Perl,18,14,0.96,-0.24
Go,19,16,0.95,-0.19
MATLAB,20,17,0.92,-0.18
