Programming Language,Jun 2023,Jun 2022,Ratings(%),Change(%)
Python,1,1,12.46,+0.26
C,2,2,12.37,+0.46
C++,3,4,11.36,+1.73
Java,4,3,11.28,+0.81
C#,5,5,6.71,+0.59
Visual Basic,6,6,3.34,-2.08
JavaScript,7,7,2.82,+0.73
PHP,8,13,1.74,+0.49
SQL,9,8,1.47,-0.47
Assembly Language,10,9,1.29,-0.56
Delphi/Object Pascal,11,12,1.26,-0.07
MATLAB,12,24,1.11,+0.48
Scratch,13,25,1.02,+0.43
Go,14,15,1.00,-0.02
Fortran,15,26,0.99,+0.44
Classic Visual Basic,16,11,0.96,-0.36
R,17,16,0.94,-0.04
Ruby,18,19,0.94,+0.19
Swift,19,10,0.93,-0.62
Rust,20,27,0.91,+0.38
