Programming Language,May 2023,May 2022,Ratings(%),Change(%)
Python,1,1,13.45,+0.71
C,2,2,13.35,+1.76
Java,3,3,12.22,+1.22
C++,4,4,11.96,+3.13
C#,5,5,7.43,+1.04
Visual Basic,6,6,3.84,-2.02
JavaScript,7,7,2.44,+0.32
PHP,8,10,1.59,+0.07
SQL,9,9,1.48,-0.39
Assembly Language,10,8,1.20,-0.72
Delphi/Object Pascal,11,11,1.01,-0.41
Go,12,14,0.99,-0.12
Scratch,13,24,0.95,+0.29
Swift,14,12,0.91,-0.31
MATLAB,15,20,0.88,+0.06
R,16,13,0.82,-0.39
Rust,17,28,0.82,+0.42
Ruby,18,19,0.80,-0.06
Fortran,19,30,0.78,+0.40
Classic Visual Basic,20,15,0.75,0.28
