Programming Language,Oct 2023,Oct 2022,Ratings(%),Change(%)
Python,1,1,14.82,-2.25
C,2,2,12.08,-3.13
C++,3,4,10.67,+0.74
Java,4,3,8.92,-3.92
C#,5,5,7.71,+3.29
JavaScript,6,7,2.91,+0.17
Visual Basic,7,6,2.13,-1.82
PHP,8,9,1.90,-0.14
SQL,9,10,1.78,+0.00
Assembly Language,10,8,1.64,-0.75
Go,11,11,1.37,+0.10
Scracth,12,23,1.37,+0.69
Delphi/Object Pascal,13,18,1.30,+0.46
MATLAB,14,14,1.27,+0.09
Swift,15,15,1.07,+0.02
Fortran,16,19,1.02,+0.23
R,17,12,0.96,-0.26
Kotlin,18,28,0.96,+0.53
Ruby,19,16,0.92,+0.05
Rust,20,20,0.91,+0.22
