Programming Language,Sep 2023,Sep 2022,Ratings(%),Change(%)
Python,1,1,14.16,-1.58
C,2,2,11.27,-2.70
C++,3,4,10.65,+0.90
Java,4,3,9.49,-2.23
C#,5,5,7.31,+2.42
JavaScript,6,7,3.30,+0.48
Visual Basic,7,6,2.22,-2.18
PHP,8,10,1.55,-0.13
Assembly Language,9,8,1.53,-0.96
SQL,10,9,1.44,-0.57
Fortran,11,15,1.28,+0.26
Go,12,12,1.19,+0.03
MATLAB,13,14,1.19,+0.13
Scratch,14,22,1.08,+0.51
Delphi/Object Pascal,15,13,1.02,-0.07
Swift,16,16,1.00,+0.02
Rust,17,26,0.97,+0.47
R,18,18,0.97,+0.02
Ruby,19,20,0.95,+0.30
Kotlin,20,34,0.90,+0.59
